review_id,doc_id,file_name,packet,review_type,retailer,document_type,evidence_role,page_image_count,contact_sheet_path,copied_review_asset_path,verification_status,review_notes
REV_DOC_BF1CF5E24E2A,DOC_BF1CF5E24E2A,034000002405_3.png,product_sku_1_55oz,product_sku_visual_check,,image_or_logo,unknown,0,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_bf1cf5e24e2a_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/034000002405_3.png,pending_manual_review,
REV_DOC_CF8C4A1F434C,DOC_CF8C4A1F434C,hershey 1.55 oz page.pdf,product_sku_1_55oz,product_sku_visual_check,,pdf_document,direct_company_evidence,1,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_cf8c4a1f434c_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/hershey 1.55 oz page.pdf,pending_manual_review,
REV_DOC_D7D512504DFA,DOC_D7D512504DFA,hershey unwrapped.png,product_sku_1_55oz,product_sku_visual_check,,image_or_logo,direct_company_evidence,0,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_d7d512504dfa_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/hershey unwrapped.png,pending_manual_review,
REV_DOC_35AC43ECE38F,DOC_35AC43ECE38F,Hershey back.webp,product_sku_1_55oz,product_sku_visual_check,,image_or_logo,direct_company_evidence,0,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_35ac43ece38f_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/Hershey back.webp,pending_manual_review,
REV_DOC_463FD3B8EDC9,DOC_463FD3B8EDC9,Hershey Front.webp,product_sku_1_55oz,product_sku_visual_check,,image_or_logo,direct_company_evidence,0,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_463fd3b8edc9_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/Hershey Front.webp,pending_manual_review,
REV_DOC_0D21678E3116,DOC_0D21678E3116,cvs_hershey_1_55oz_price_page.pdf,retail_price_evidence,retail_price_visual_check,cvs,pdf_document,retail_price_evidence,1,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_0d21678e3116_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/cvs_hershey_1_55oz_price_page.pdf,pending_manual_review,
REV_DOC_4D6583498B7A,DOC_4D6583498B7A,target_hershey_1_55oz_price_page.pdf,retail_price_evidence,retail_price_visual_check,target,pdf_document,retail_price_evidence,1,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_4d6583498b7a_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/target_hershey_1_55oz_price_page.pdf,pending_manual_review,
REV_DOC_5E90ED0F32AB,DOC_5E90ED0F32AB,walgreens_hershey_1_55oz_price_page.pdf,retail_price_evidence,retail_price_visual_check,walgreens,pdf_document,retail_price_evidence,1,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_5e90ed0f32ab_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/walgreens_hershey_1_55oz_price_page.pdf,pending_manual_review,
REV_DOC_1F6D46FB75CC,DOC_1F6D46FB75CC,walmart_hershey_1_55oz_price_page.pdf,retail_price_evidence,retail_price_visual_check,walmart,pdf_document,retail_price_evidence,1,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_1f6d46fb75cc_contact_sheet.png,D:/HersheySupplyChainAI/artifacts/08_visual_verification/copied_review_assets/walmart_hershey_1_55oz_price_page.pdf,pending_manual_review,
