review_id,retailer,file_name,contact_sheet_path,verified_product_name,verified_size_oz,verified_size_g,verified_pack_size,verified_price_usd,verified_price_type,verified_date_visible,verified_store_or_zip_visible,verification_status,manual_notes
REV_DOC_0D21678E3116,cvs,cvs_hershey_1_55oz_price_page.pdf,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_0d21678e3116_contact_sheet.png,HERSHEY'S Milk Chocolate Candy Bar,1.55,43,1,2.19,single_bar_price,,,verified,Manually verified from CVS contact sheet.
REV_DOC_4D6583498B7A,target,target_hershey_1_55oz_price_page.pdf,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_4d6583498b7a_contact_sheet.png,HERSHEY'S Milk Chocolate Candy Bar,1.55,43,1,1.99,single_bar_price,,,verified,Manually verified from Target contact sheet.
REV_DOC_5E90ED0F32AB,walgreens,walgreens_hershey_1_55oz_price_page.pdf,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_5e90ed0f32ab_contact_sheet.png,HERSHEY'S Milk Chocolate Candy Bar,1.55,43,1,2.19,single_bar_price,,,verified,Manually verified from Walgreens contact sheet.
REV_DOC_1F6D46FB75CC,walmart,walmart_hershey_1_55oz_price_page.pdf,D:/HersheySupplyChainAI/artifacts/08_visual_verification/contact_sheets/rev_doc_1f6d46fb75cc_contact_sheet.png,HERSHEY'S Milk Chocolate Candy Bar,1.55,43,1,1.62,single_bar_price,,,verified,Manually verified from Walmart contact sheet.
